               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.042016,             0.01383,                   0,             0.70867,             0.75862,             0.77073,             0.37286,             0.04023,            0.017018,                   0,            0.004753,            0.004753,            0.004753
                  55,              0.0439,            0.012994,                   0,             0.80942,             0.81034,             0.89219,             0.42907,            0.041424,             0.01254,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.047787,             0.01323,                   0,             0.82595,             0.98276,             0.93737,             0.48382,            0.041631,            0.011611,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.046518,            0.013879,                   0,             0.94309,             0.85715,             0.96004,              0.4867,            0.038865,            0.012921,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.046112,            0.013701,                   0,             0.91786,             0.77586,             0.89667,             0.46097,            0.042932,            0.013205,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.045086,            0.013919,                   0,             0.96003,             0.84483,             0.94815,             0.42947,            0.041096,            0.012518,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.043351,            0.013983,                   0,             0.88128,              0.8959,              0.9491,             0.49053,            0.038705,            0.011358,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.044627,            0.013386,                   0,             0.92396,             0.84483,             0.91577,             0.46793,            0.037178,            0.011399,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.044443,            0.012786,                   0,             0.92844,             0.89655,             0.93031,             0.48103,             0.03821,            0.011853,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.044566,            0.014077,                   0,             0.82746,             0.82689,             0.89682,             0.49136,            0.039871,             0.01226,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.045229,            0.013019,                   0,             0.91665,             0.75844,              0.8538,             0.41223,            0.041902,            0.012778,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.045494,            0.012776,                   0,             0.85671,             0.72414,              0.8367,             0.37708,            0.041999,            0.014505,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.043108,            0.013513,                   0,             0.79293,              0.7931,             0.84245,             0.41305,            0.042817,            0.012346,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.043962,            0.013377,                   0,             0.81962,             0.86175,             0.90244,             0.48266,            0.040185,            0.012433,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.044607,            0.013431,                   0,             0.86664,             0.89637,             0.91529,             0.46001,             0.03931,            0.011881,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.041917,            0.012634,                   0,             0.92591,             0.86193,              0.9198,             0.45721,            0.039926,            0.011726,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.041675,            0.013266,                   0,             0.87487,             0.84483,             0.88125,             0.44176,            0.041673,            0.011646,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.041711,            0.013196,                   0,             0.84208,             0.82759,             0.85415,             0.45335,            0.039971,            0.011919,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.040972,            0.012891,                   0,             0.85403,             0.81034,             0.84871,             0.40313,            0.043231,            0.011517,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.042378,            0.011882,                   0,             0.99994,              0.7931,             0.96063,             0.48187,            0.037953,            0.011216,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.04258,            0.013773,                   0,             0.91665,             0.94809,             0.91541,              0.4649,            0.038824,            0.011444,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.042761,            0.013319,                   0,             0.83071,             0.93103,             0.92181,             0.45489,            0.040861,            0.011251,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.042376,            0.012697,                   0,             0.92437,             0.84483,             0.91068,             0.47383,            0.040786,            0.011866,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.041341,            0.011131,                   0,             0.98242,             0.96552,              0.9875,             0.49506,            0.039651,            0.011365,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.041792,            0.012377,                   0,             0.91223,             0.89655,              0.9361,               0.488,            0.039503,            0.011854,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.041974,             0.01188,                   0,             0.93198,             0.96552,             0.98641,             0.50808,             0.04047,            0.011299,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.04287,            0.012775,                   0,             0.91377,             0.91355,             0.91113,             0.48868,            0.038678,            0.011423,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.042368,            0.011434,                   0,             0.91482,             0.93103,             0.92244,             0.46995,            0.039657,            0.011643,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.040811,            0.011221,                   0,             0.88122,             0.89655,             0.89383,             0.49267,            0.039548,            0.011654,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.039503,            0.012641,                   0,              0.9322,             0.94825,             0.94626,             0.51181,            0.036878,            0.011055,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.039239,            0.012196,                   0,             0.93102,             0.93087,              0.9334,             0.50542,            0.037932,            0.010786,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.038714,            0.011003,                   0,             0.93081,              0.9278,             0.96138,             0.49625,            0.038173,            0.010991,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.039376,            0.011608,                   0,             0.93087,             0.93103,             0.94483,             0.50633,            0.036226,            0.010805,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.038797,            0.011522,                   0,             0.93102,             0.93081,             0.94935,             0.52028,             0.03598,            0.010987,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.039632,             0.01165,                   0,             0.91524,             0.93084,             0.93135,             0.50079,            0.038339,            0.010852,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.039263,            0.011799,                   0,             0.89987,             0.93103,             0.93663,             0.50386,            0.037848,            0.011149,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.038311,             0.01183,                   0,             0.93074,             0.94828,             0.95971,             0.51199,            0.036537,             0.01097,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.038051,            0.011603,                   0,             0.89651,             0.89616,             0.92078,              0.5057,            0.036569,            0.010899,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.038392,            0.011743,                   0,              0.9333,             0.96552,             0.94755,             0.51596,            0.035481,            0.010665,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.038819,            0.011611,                   0,             0.89995,             0.93103,             0.90139,             0.48271,            0.037421,            0.011031,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.037177,            0.011266,                   0,             0.91667,             0.94827,             0.91254,             0.49094,            0.036285,            0.010905,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.038226,             0.01198,                   0,             0.93215,             0.94828,               0.932,              0.5012,            0.037161,             0.01084,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.03806,            0.012048,                   0,             0.91513,             0.93103,             0.91967,             0.50783,            0.036962,            0.010928,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.037475,            0.010825,                   0,             0.91663,             0.94828,               0.929,             0.50064,            0.036932,            0.010948,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.036856,            0.011449,                   0,             0.91662,             0.94828,             0.92434,             0.49828,            0.036652,            0.010812,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.037971,            0.010756,                   0,             0.91655,             0.94828,             0.91905,             0.50379,             0.03595,            0.010828,                   0,            0.000298,            0.000298,            0.000298
